imdb_id	kind	reference_name
nm0001537	person	Ray Milland
nm0001539	person	Hayley Mills
nm0001545	person	Dudley Moore
nm0001546	person	Mary Tyler Moore
nm0001547	person	Agnes Moorehead
nm0001549	person	Rita Moreno
nm0001550	person	Cathy Moriarty
nm0001552	person	Pat Morita
nm0001553	person	Ennio Morricone
nm0001554	person	Errol Morris
nm0001557	person	Viggo Mortensen
nm0001566	person	Mike Nichols
nm0001570	person	Edward Norton
nm0001574	person	Michael O'Keefe
nm0001575	person	Tatum O'Neal
nm0001578	person	Annette O'Toole
nm0001579	person	Edward James Olmos
nm0001587	person	Alan J. Pakula
nm0001588	person	Jack Palance
nm0001590	person	Chazz Palminteri
nm0001593	person	Anna Paquin
nm0001601	person	David Paymer
nm0001602	person	Guy Pearce
nm0001603	person	Sam Peckinpah
nm0001609	person	Rosie Perez
nm0001618	person	Joaquin Phoenix
nm0001626	person	Christopher Plummer
nm0001627	person	Sidney Poitier
nm0001628	person	Sydney Pollack
nm0001631	person	Sarah Polley
nm0001635	person	William Powell
nm0001642	person	Randy Quaid
nm0001647	person	Claude Rains
nm0001648	person	Charlotte Rampling
nm0001649	person	Anne Ramsey
nm0001651	person	Basil Rathbone
nm0001653	person	Stephen Rea
nm0001655	person	Lynn Redgrave
nm0001656	person	Donna Reed
nm0001661	person	Rob Reiner
nm0001665	person	Lee Remick
nm0001666	person	Debbie Reynolds
nm0001669	person	Miranda Richardson
nm0001673	person	Jason Robards
nm0001677	person	Ginger Rogers
nm0001682	person	Mickey Rooney
nm0001684	person	Katharine Ross
nm0001687	person	Gena Rowlands
nm0001689	person	Mercedes Ruehl
nm0001691	person	Geoffrey Rush
nm0001692	person	Ken Russell
nm0001693	person	Eva Marie Saint
nm0001695	person	George Sanders
nm0001697	person	Chris Sarandon
nm0001699	person	Telly Savalas
nm0001702	person	Roy Scheider
nm0001703	person	Maximilian Schell
nm0001707	person	Paul Schrader
nm0001715	person	George C. Scott
nm0001719	person	George Segal
nm0001721	person	Chloë Sevigny
nm0001725	person	Omar Sharif
nm0001727	person	Robert Shaw
nm0001731	person	Sam Shepard
nm0001735	person	Talia Shire
nm0001739	person	Jean Simmons
nm0001745	person	Stellan Skarsgård
nm0001749	person	Maggie Smith
nm0001752	person	Steven Soderbergh
nm0001766	person	Barbara Stanwyck
nm0001767	person	Imelda Staunton
nm0001768	person	Rod Steiger
nm0001770	person	Fisher Stevens
nm0001775	person	Whit Stillman
nm0001776	person	Sting
nm0001777	person	Dean Stockwell
nm0001779	person	Tom Stoppard
nm0001784	person	Gloria Stuart
nm0001788	person	Jessica Tandy
nm0001799	person	John Toll
nm0001800	person	Rip Torn
nm0001801	person	Robert Towne
nm0001804	person	Stanley Tucci
nm0001805	person	Lana Turner
nm0001807	person	Cicely Tyson
nm0001811	person	Peter Ustinov
nm0001814	person	Gus Van Sant
nm0001816	person	Robert Vaughn
nm0001823	person	Tom Waits
nm0001832	person	Sam Waterston
nm0001833	person	Emily Watson
nm0001837	person	Peter Weir
nm0001838	person	Rachel Weisz
nm0001839	person	Tuesday Weld
nm0001845	person	Forest Whitaker
nm0001847	person	Richard Widmark
nm0001848	person	Dianne Wiest
nm0001851	person	JoBeth Williams
nm0001856	person	Oprah Winfrey
nm0001858	person	Mare Winningham
nm0001859	person	Shelley Winters
nm0001873	person	Steven Zaillian
nm0001874	person	Franco Zeffirelli
nm0001876	person	Catherine Zeta-Jones
nm0001877	person	Hans Zimmer
nm0001880	person	Edward Zwick
nm0001884	person	Max von Sydow
nm0001885	person	Lars von Trier
nm0001898	person	Bryan Adams
nm0001899	person	Remi Adefarasin
nm0001903	person	Norma Aleandro
nm0001907	person	Eric Ambler
nm0001908	person	Broncho Billy Anderson
nm0001915	person	Emile Ardolino
nm0001919	person	Peggy Ashcroft
nm0001921	person	Paul Attanasio
nm0001923	person	Margaret Avery
nm0001932	person	Richard Barthelmess
nm0001937	person	Marco Beltrami
nm0001944	person	Edgar Bergen
nm0001945	person	Claude Berri
nm0001948	person	Charles Bickford
nm0001949	person	Andrew Birkin
nm0001951	person	Björk
nm0001955	person	Ann Blyth
nm0001964	person	Rob Bottin
nm0001970	person	Klaus Maria Brandauer
nm0001980	person	Carter Burwell
nm0001981	person	Spring Byington
nm0001989	person	Leslie Caron
nm0001995	person	George Chakiris
nm0001996	person	Jeff Chandler
nm0002001	person	Maurice Chevalier
nm0002006	person	Thomas Haden Church
nm0002009	person	Arthur C. Clarke
nm0002011	person	Lee J. Cobb
nm0002013	person	Charles Coburn
nm0002015	person	Phil Collins
nm0002018	person	Tom Conti
nm0002020	person	Costa-Gavras
nm0002021	person	Noël Coward
nm0002022	person	Jeanne Crain
nm0002024	person	Broderick Crawford
nm0002025	person	Hume Cronyn
nm0002030	person	George Cukor
nm0002031	person	Michael Curtiz
nm0002034	person	Jane Darwell
nm0002039	person	Ruby Dee
nm0002045	person	Stanley Donen
nm0002046	person	Brian Donlevy
nm0002048	person	Melvyn Douglas
nm0002050	person	Irene Dunne
nm0002052	person	Deanna Durbin
nm0002058	person	Samantha Eggar
nm0002070	person	Richard Farnsworth
nm0002075	person	Peter Finch
nm0002078	person	Frederic Forrest
nm0002080	person	Bob Fosse
nm0002084	person	Brenda Fricker
nm0002092	person	John Garfield
nm0002093	person	Greer Garson
nm0002104	person	Paulette Goddard
nm0002106	person	Ruth Gordon
nm0002108	person	Gloria Grahame
nm0002113	person	Sydney Greenstreet
nm0002120	person	Lasse Hallström
nm0002128	person	Tess Harper
nm0002131	person	Laurence Harvey
nm0002136	person	Bernard Herrmann
nm0002137	person	Arthur Hiller
nm0002139	person	Judd Hirsch
nm0002140	person	Agnieszka Holland
nm0002141	person	Celeste Holm
nm0002144	person	John Houseman
nm0002145	person	Trevor Howard
nm0002146	person	James Wong Howe
nm0002153	person	Jack Cardiff
nm0002155	person	Edward M. Abroms
nm0002162	person	Henri Alekan
nm0002164	person	Irving Allen
nm0002166	person	John A. Alonzo
nm0002175	person	Ken Annakin
nm0002182	person	Harold Arlen
nm0002183	person	George Arliss
nm0002184	person	Vic Armstrong
nm0002185	person	Malcolm Arnold
nm0002186	person	Luciana Arrighi
nm0002191	person	Jacques Audiard
nm0002199	person	Héctor Babenco
nm0002201	person	John Debney
nm0002202	person	Roy Webb
nm0002206	person	Kevin Brownlow
nm0002217	person	Mychael Danna
nm0002224	person	James Moll
nm0002228	person	Nicholas Musuraca
nm0002233	person	Erich von Stroheim
nm0002239	person	Prince
nm0002274	person	Nina Gold
nm0002302	person	James Bernard
nm0002304	person	Laurence Rosenthal
nm0002305	person	Patrick Williams
nm0002312	person	Obie Benz
nm0002314	person	Mac Ruth
nm0002337	person	Roger Christian
nm0002338	person	Jack Clayton
nm0002346	person	Harry Marker
nm0002353	person	Thomas Newman
nm0002354	person	John Williams
nm0002376	person	David Hare
nm0002380	person	Giorgio Moroder
nm0002383	person	Myron Nettinga
nm0002428	person	Nick Davis
nm0002500	person	Tom McArdle
nm0002503	person	Harry Carey
nm0002514	person	Mike Marino
nm0002545	person	Preston Sturges
nm0002548	person	Ruby Yang
nm0002568	person	Robert De Grasse
nm0002582	person	Christopher Rouse
nm0002590	person	Harry Grey
nm0002653	person	Joe Johnston
nm0002657	person	Gary Ross
nm0002663	person	Diane Ladd
nm0002679	person	Lynn Stalmaster
nm0002703	person	Roger Heman Sr.
nm0002716	person	Charles Gibson
nm0002717	person	Robert C. Jones
nm0002747	person	Mark Sanger
nm0002770	person	John Hughes
nm0002875	person	Freddie Young
nm0002892	person	Wally Pfister
nm0002994	person	Kevin McCarthy
